Flight_ID,Aircraft_Type,Scheduled_ARR,Scheduled_DEP,Airline,Terminal,Is_International,Delay_MIN,Actual_ARR,Assigned_Gate,Assigned_Stand,Assigned_Gate_Reassigned,Assigned_Stand_Reassigned,Reward,Reassigned
ZH4157,A320,2025-08-21 06:35:00,2025-08-21 07:27:00,ZH,T1,1,0,2025-08-21 06:35:00,G01,G01,G01,G01,1.0,0
CA4420,B777,2025-08-21 06:36:00,2025-08-21 07:39:00,CA,T2,0,0,2025-08-21 06:36:00,G02,R20,G02,G02,1.0,1
HU5380,A320,2025-08-21 06:42:00,2025-08-21 08:05:00,HU,T2,0,11,2025-08-21 06:53:00,G03,R21,G03,G03,1.0,1
HU3491,A320,2025-08-21 06:53:00,2025-08-21 08:15:00,HU,T1,0,0,2025-08-21 06:53:00,G04,G04,G04,G04,1.0,0
HU7316,A320,2025-08-21 06:57:00,2025-08-21 08:20:00,HU,T2,0,0,2025-08-21 06:57:00,G05,G05,G05,G05,1.0,0
ZH1728,B737,2025-08-21 07:01:00,2025-08-21 08:00:00,ZH,T1,0,0,2025-08-21 07:01:00,G06,G06,G06,G06,1.0,0
MU5491,B737,2025-08-21 07:08:00,2025-08-21 08:22:00,MU,T2,0,0,2025-08-21 07:08:00,G07,G07,G07,G07,1.0,0
CZ9392,B737,2025-08-21 06:27:00,2025-08-21 07:13:00,CZ,T2,0,57,2025-08-21 07:24:00,G08,R22,G08,G08,1.0,1
CA2571,B737,2025-08-21 07:38:00,2025-08-21 09:05:00,CA,T2,0,0,2025-08-21 07:38:00,G09,G09,G09,G09,1.0,0
MU8390,A320,2025-08-21 07:39:00,2025-08-21 08:52:00,MU,T2,0,0,2025-08-21 07:39:00,G10,R23,G10,G10,1.0,1
HO8989,B737,2025-08-21 07:45:00,2025-08-21 08:28:00,HO,T1,0,0,2025-08-21 07:45:00,G11,G11,G11,G11,1.0,0
CA5496,A330,2025-08-21 08:14:00,2025-08-21 08:56:00,CA,T1,0,0,2025-08-21 08:14:00,G01,G01,G01,G01,1.0,0
CZ1190,B777,2025-08-21 07:38:00,2025-08-21 08:50:00,CZ,T1,0,42,2025-08-21 08:20:00,G12,R24,G12,G12,1.0,1
HU1395,B777,2025-08-21 08:56:00,2025-08-21 10:11:00,HU,T2,1,0,2025-08-21 08:56:00,G02,R20,G17,G17,0.5,1
HO6919,B737,2025-08-21 08:22:00,2025-08-21 09:29:00,HO,T2,0,34,2025-08-21 08:56:00,G08,R22,G08,G08,1.0,1
CA7944,A320,2025-08-21 08:40:00,2025-08-21 09:23:00,CA,T2,0,17,2025-08-21 08:57:00,G06,G06,G06,G06,1.0,0
HO8560,B737,2025-08-21 07:43:00,2025-08-21 08:55:00,HO,T2,0,102,2025-08-21 09:25:00,G13,R25,G13,G13,1.0,1
HU5499,A330,2025-08-21 09:27:00,2025-08-21 10:09:00,HU,T2,1,0,2025-08-21 09:27:00,G03,R21,G03,G03,1.0,1
MU6348,B737,2025-08-21 09:32:00,2025-08-21 10:22:00,MU,T1,0,0,2025-08-21 09:32:00,G04,G04,G04,G04,1.0,0
MU3141,B777,2025-08-21 09:39:00,2025-08-21 10:23:00,MU,T1,1,0,2025-08-21 09:39:00,G01,G01,G01,G01,1.0,0
HO7801,A330,2025-08-21 09:54:00,2025-08-21 10:44:00,HO,T2,1,0,2025-08-21 09:54:00,G05,G05,G04,G04,-2.0,1
CA4506,A320,2025-08-21 08:33:00,2025-08-21 09:28:00,CA,T2,0,87,2025-08-21 10:00:00,G14,G14,G14,G14,1.0,0
MU8513,A330,2025-08-21 10:01:00,2025-08-21 10:49:00,MU,T1,0,0,2025-08-21 10:01:00,G07,G07,G18,G18,0.5,1
ZH7617,B737,2025-08-21 09:23:00,2025-08-21 10:18:00,ZH,T1,0,42,2025-08-21 10:05:00,G11,G11,G11,G11,1.0,0
ZH3082,A320,2025-08-21 10:12:00,2025-08-21 11:41:00,ZH,T2,0,0,2025-08-21 10:12:00,G06,G06,G16,G16,0.5,1
CA3557,B737,2025-08-21 10:13:00,2025-08-21 11:27:00,CA,T2,1,0,2025-08-21 10:13:00,G08,R22,G08,G08,1.0,1
CZ5452,A320,2025-08-21 10:13:00,2025-08-21 11:22:00,CZ,T2,0,0,2025-08-21 10:13:00,G09,G09,G14,G14,0.5,1
HO7303,A320,2025-08-21 10:17:00,2025-08-21 11:45:00,HO,T2,1,0,2025-08-21 10:17:00,G10,R23,G20,G20,0.5,1
CA5186,A320,2025-08-21 09:01:00,2025-08-21 10:19:00,CA,T1,0,76,2025-08-21 10:17:00,G15,G15,G10,G10,0.5,1
HO7938,B777,2025-08-21 09:37:00,2025-08-21 10:30:00,HO,T1,0,51,2025-08-21 10:28:00,G12,R24,G24,G24,0.5,1
ZH5849,B777,2025-08-21 08:52:00,2025-08-21 09:44:00,ZH,T1,0,101,2025-08-21 10:33:00,G16,G16,G25,G25,0.5,1
CA7541,B777,2025-08-21 09:05:00,2025-08-21 10:23:00,CA,T2,0,96,2025-08-21 10:41:00,G17,G17,G13,G13,0.5,1
HU6600,A330,2025-08-21 10:43:00,2025-08-21 12:09:00,HU,T2,0,0,2025-08-21 10:43:00,G13,R25,G15,G15,0.5,1
CZ1717,A320,2025-08-21 10:24:00,2025-08-21 11:10:00,CZ,T2,0,25,2025-08-21 10:49:00,G14,G14,G12,G12,0.5,1
HO1262,A320,2025-08-21 10:57:00,2025-08-21 12:11:00,HO,T2,0,0,2025-08-21 10:57:00,G02,R20,G05,G05,0.5,1
HU3931,A320,2025-08-21 10:39:00,2025-08-21 11:23:00,HU,T1,1,25,2025-08-21 11:04:00,G16,G16,G22,G22,0.5,1
ZH8208,B777,2025-08-21 09:36:00,2025-08-21 11:00:00,ZH,T1,0,98,2025-08-21 11:14:00,G18,G18,G09,G09,0.5,1
HU9319,B777,2025-08-21 10:15:00,2025-08-21 10:57:00,HU,T2,0,63,2025-08-21 11:18:00,G19,G19,G04,G04,0.5,1
MU8629,B737,2025-08-21 10:30:00,2025-08-21 11:17:00,MU,T2,0,49,2025-08-21 11:19:00,G20,G20,G24,G24,0.5,1
HO4141,B777,2025-08-21 09:36:00,2025-08-21 11:00:00,HO,T2,0,117,2025-08-21 11:33:00,G21,G21,G25,G25,0.5,1
MU2069,A330,2025-08-21 09:39:00,2025-08-21 10:48:00,MU,T2,1,114,2025-08-21 11:33:00,G22,G22,G18,G18,0.5,1
ZH3869,B737,2025-08-21 11:37:00,2025-08-21 12:18:00,ZH,T2,0,0,2025-08-21 11:37:00,G01,G01,G19,G19,0.5,1
HO1580,A330,2025-08-21 10:31:00,2025-08-21 11:49:00,HO,T1,0,85,2025-08-21 11:56:00,G23,G23,G13,G13,0.5,1
HO9308,A330,2025-08-21 11:45:00,2025-08-21 13:01:00,HO,T1,0,21,2025-08-21 12:06:00,G03,R21,G01,G01,0.5,1
