TIME,AIRLINE,FLIGHT_NUMBER,TRANSACTION,TERMINAL,GATE,REMARK,data_as_of,data_loaded_at
2025/07/28 05:13:00 AM,United,UA1448,DEP,3,E7,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 09:53:00 PM,United,UA506,ARR,I,G8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 06:26:00 AM,United,UA1750,ARR,3,F13,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 07:26:00 AM,United,UA5338,ARR,3,F10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 11:10:00 AM,United,UA875,DEP,I,G8,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 12:52:00 PM,United,UA1561,ARR,3,E11,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 06:52:00 PM,United,UA5800,DEP,3,F10,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 10:19:00 AM,United,UA5479,DEP,3,F18,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 12:02:00 PM,Southwest,WN1748,ARR,2,D6,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 09:42:00 AM,United,UA5892,ARR,3,E2,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 12:13:00 PM,DELTA,DL409,ARR,1,C8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 10:23:00 AM,JAL,JL2,ARR,I,A6,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 06:54:00 PM,United,UA325,DEP,2,D16,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 06:47:00 PM,Alaska,AS776,DEP,1,B13,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 09:40:00 AM,United,UA1175,DEP,I,G5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 07:33:00 PM,United,UA6000,ARR,I,G12,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 09:56:00 PM,United,UA4737,DEP,3,F7,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 05:31:00 PM,United,UA5316,ARR,3,F5,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 09:44:00 PM,United,UA2070,ARR,3,F14,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 08:06:00 AM,Alaska,AS1410,DEP,1,B21,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 07:27:00 PM,United,UA1572,ARR,3,F21,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/26 06:35:00 AM,DELTA,DL570,DEP,1,C3,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 10:52:00 AM,American,AA179,ARR,1,B26,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 03:13:00 PM,United,UA1754,ARR,3,E11,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 12:14:00 AM,United,UA1048,DEP,3,E5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 12:14:00 AM,DELTA,DL690,DEP,1,C7,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/26 11:28:00 PM,Alaska,AS2038,ARR,1,B21,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 09:16:00 PM,United,UA325,DEP,2,D15,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 02:35:00 PM,United,UA5583,ARR,3,E12,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 10:38:00 AM,United,UA1777,ARR,3,F13,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 09:55:00 AM,United,UA717,DEP,2,D8,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 06:05:00 AM,American,AA6404,DEP,1,B22,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 03:09:00 PM,United,UA1940,ARR,3,E10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 11:45:00 AM,American,AA2428,ARR,1,B27,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 05:55:00 PM,Alaska,AS1284,ARR,1,B7,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 10:40:00 PM,Singapore Airlines,SQ33,DEP,I,G5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 01:34:00 PM,Virgin Atlantic,VS19,ARR,I,A13,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 08:38:00 AM,United,UA5804,DEP,3,E11,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 01:59:00 PM,Korean Air,KE24,DEP,I,A6,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 01:14:00 PM,Southwest,WN2838,DEP,2,D7,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 04:15:00 PM,United,UA948,DEP,I,G5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 07:16:00 PM,United,UA436,ARR,3,E5,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 11:43:00 PM,Alaska,AS922,DEP,1,B8,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 03:09:00 PM,United,UA210,ARR,2,D10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 03:47:00 PM,American,AA2860,ARR,1,B23,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 07:23:00 AM,United,UA1355,ARR,2,D10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 08:58:00 PM,United,UA5644,DEP,3,F6,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 04:35:00 PM,United,UA776,DEP,3,E10,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 06:37:00 PM,United,UA939,ARR,I,G1,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 11:41:00 AM,United,UA1273,DEP,3,F17,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 04:46:00 PM,United,UA2428,DEP,2,D15,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 11:56:00 PM,United,UA2724,ARR,3,E6,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 08:48:00 AM,Alaska,AS526,ARR,1,B17,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 08:21:00 PM,American,AA2410,ARR,1,B26,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 08:04:00 PM,United,UA927,ARR,I,G7,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 04:43:00 PM,Asiana,OZ212,ARR,I,G8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 11:46:00 AM,United,UA793,DEP,3,F19,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 11:05:00 PM,Qantas,QF74,DEP,I,A5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/26 11:54:00 AM,JetBlue,B6378,DEP,1,B6,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 05:58:00 AM,United,UA214,ARR,3,F15,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 09:28:00 AM,United,UA2623,DEP,3,F14,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 02:43:00 PM,United,UA4729,ARR,3,F9,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 08:11:00 PM,United,UA878,ARR,I,G10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 03:12:00 PM,Alaska,AS835,DEP,1,B9,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 06:51:00 AM,United,UA352,ARR,3,F21,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 02:56:00 PM,American,AA3315,ARR,1,B25,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 05:49:00 PM,American,AA2997,ARR,1,B24,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 03:48:00 PM,American,AA4893,ARR,1,B22,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 06:01:00 AM,United,UA214,ARR,3,F22,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 01:54:00 AM,JetBlue,B6515,ARR,1,B3,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/26 06:02:00 PM,Aer Lingus,EI60,DEP,1,B16,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 11:24:00 AM,United,UA852,ARR,I,G3,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 10:53:00 PM,Frontier,F91448,DEP,I,A14,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 01:22:00 PM,United,UA900,ARR,I,G3,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 10:25:00 PM,United,UA505,ARR,3,F12,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 09:56:00 PM,Alaska,AS597,ARR,1,B21,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 07:30:00 AM,United,UA1883,DEP,3,D16,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 04:11:00 PM,JetBlue,B6415,ARR,1,B6,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 02:59:00 PM,ZIPAIR,ZG26,ARR,I,A5,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 03:09:00 PM,Cathay Pacific,CX879,DEP,I,A1,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 06:05:00 AM,United,UA1571,DEP,3,E12,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 02:24:00 PM,United,UA2332,ARR,3,E4,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/26 01:06:00 PM,United,UA305,DEP,3,F14,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 12:54:00 PM,Air Canada,AC567,DEP,2,D11,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 04:28:00 PM,United,UA5504,ARR,3,F9,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 09:45:00 AM,United,UA5613,DEP,3,E2,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 03:31:00 PM,United,UA4655,ARR,3,E13,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 07:34:00 AM,Hawaiian,HA41,DEP,1,B12,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 02:07:00 PM,United,UA889,ARR,I,G9,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 10:56:00 AM,United,UA2650,DEP,3,F16,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 06:01:00 PM,Alaska,AS2078,ARR,1,B18,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 09:38:00 PM,United,UA2047,DEP,3,E8,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 11:23:00 PM,Alaska,AS369,ARR,1,B8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 07:09:00 PM,United,UA2646,DEP,I,G11,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 06:35:00 PM,Lufthansa,LH458,ARR,I,G8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 09:33:00 AM,United,UA1721,DEP,3,F11,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 06:09:00 AM,United,UA214,ARR,I,G10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 12:17:00 PM,American,AA6262,DEP,1,B22,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 12:16:00 AM,American,AA2113,DEP,1,B24,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 12:27:00 AM,Alaska,AS307,DEP,1,B17,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 10:12:00 PM,Avianca,AV560,ARR,I,A15,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 06:37:00 PM,United,UA1862,DEP,2,D10,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 04:32:00 PM,United,UA1754,DEP,2,D10,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 08:17:00 AM,United,UA4767,ARR,3,F18,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 10:48:00 AM,United,UA5855,ARR,3,F5,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 01:50:00 PM,United,UA1515,ARR,I,G5,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 04:35:00 PM,ANA,NH108,ARR,I,G9,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 09:56:00 PM,United,UA1074,DEP,3,E2,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 10:08:00 PM,American,AA6260,ARR,1,B22,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 10:41:00 AM,United,UA1220,DEP,3,F21,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 05:50:00 PM,Southwest,WN2511,ARR,2,D4,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 12:57:00 PM,United,UA1517,DEP,2,D15,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 09:31:00 AM,United,UA1449,ARR,2,D5,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 07:19:00 PM,United,UA1227,DEP,3,E10,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 12:16:00 AM,United,UA2312,DEP,I,G11,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
