Flight Number,Airline,Status,Scheduled Time,Gate,Stand,Terminal
HV802,,"ARR,EXP",2025-08-01T00:00:00.000+02:00,,,1
HV6146,,"ARR,EXP",2025-08-01T00:10:00.000+02:00,,,1
KL2642,,"ARR,EXP",2025-08-01T00:10:00.000+02:00,,,1
HV6334,,"ARR,EXP",2025-08-01T00:10:00.000+02:00,,,1
HV5586,,"ARR,EXP",2025-08-01T00:15:00.000+02:00,,,1
HV5360,,"ARR,EXP",2025-08-01T00:25:00.000+02:00,,,1
KL2570,,"ARR,EXP",2025-08-01T00:25:00.000+02:00,,,1
OR1502,,ARR,2025-08-01T00:25:00.000+02:00,,,4
OR1702,,"ARR,EXP",2025-08-01T00:35:00.000+02:00,,,4
SQ7395,,"LND,EXP",2025-08-01T00:40:00.000+02:00,,,
HV1446,,ARR,2025-08-01T00:40:00.000+02:00,,,3
OR1666,,ARR,2025-08-01T00:40:00.000+02:00,,,3
KL1682,,ARR,2025-08-01T00:45:00.000+02:00,,,3
DL9407,,ARR,2025-08-01T00:45:00.000+02:00,,,3
HV6414,,"ARR,EXP",2025-08-01T00:50:00.000+02:00,,,1
KL2696,,"ARR,EXP",2025-08-01T00:50:00.000+02:00,,,1
OR1638,,"ARR,EXP",2025-08-01T00:50:00.000+02:00,,,4
HV248,,ARR,2025-08-01T00:55:00.000+02:00,,,1
OR3162,,ARR,2025-08-01T01:00:00.000+02:00,,,4
OR3028,,ARR,2025-08-01T01:00:00.000+02:00,,,3
OR3412,,"ARR,EXP",2025-08-01T01:10:00.000+02:00,,,3
HV5960,,"ARR,EXP",2025-08-01T01:25:00.000+02:00,,,1
HV5822,,ARR,2025-08-01T01:25:00.000+02:00,,,1
KL2665,,ARR,2025-08-01T01:25:00.000+02:00,,,1
HV5686,,ARR,2025-08-01T01:25:00.000+02:00,,,1
HV6672,,"ARR,EXP",2025-08-01T01:30:00.000+02:00,,,1
KL2591,,"ARR,EXP",2025-08-01T01:30:00.000+02:00,,,1
HV6706,,"ARR,EXP",2025-08-01T01:30:00.000+02:00,,,1
HV6424,,"ARR,EXP",2025-08-01T01:40:00.000+02:00,,,1
HV5752,,"ARR,EXP",2025-08-01T01:40:00.000+02:00,,,3
KL2624,,"ARR,EXP",2025-08-01T01:40:00.000+02:00,,,3
OR1072,,ARR,2025-08-01T01:45:00.000+02:00,,,4
HV5766,,ARR,2025-08-01T01:55:00.000+02:00,,,1
HV5312,,"ARR,EXP",2025-08-01T02:00:00.000+02:00,,,1
HV6522,,ARR,2025-08-01T02:00:00.000+02:00,,,1
KL2576,,ARR,2025-08-01T02:00:00.000+02:00,,,1
CD422,,"ARR,EXP",2025-08-01T02:20:00.000+02:00,,,4
HV6112,,ARR,2025-08-01T02:25:00.000+02:00,,,3
KL3290,,ARR,2025-08-01T02:25:00.000+02:00,,,3
CD1482,,"ARR,EXP",2025-08-01T02:45:00.000+02:00,,,3
SQ7395,,"DEP,DEL",2025-08-01T03:10:00.000+02:00,,,
HV5750,,"ARR,EXP",2025-08-01T03:25:00.000+02:00,,,3
KL2543,,"ARR,EXP",2025-08-01T03:25:00.000+02:00,,,3
QY1446,,"LND,EXP",2025-08-01T05:00:00.000+02:00,,,
HV5791,,DEP,2025-08-01T05:00:00.000+02:00,C16,,1
HV5623,,DEP,2025-08-01T05:00:00.000+02:00,C5,,1
KL2675,,DEP,2025-08-01T05:00:00.000+02:00,C5,,1
HV5215,,DEP,2025-08-01T05:00:00.000+02:00,D79,,1
KL2567,,DEP,2025-08-01T05:00:00.000+02:00,D79,,1
HV5351,,DEP,2025-08-01T05:05:00.000+02:00,C7,,1
KL3280,,DEP,2025-08-01T05:05:00.000+02:00,C7,,1
HV5077,,DEP,2025-08-01T05:10:00.000+02:00,C9,,1
