Flight Number_ARR,Status_ARR,Scheduled_Time_ARR,Stand,Stand_Type,Terminal,Flight Number_DEP,Status_DEP,Scheduled_Time_DEP,Gate_DEP
OR3805,"ARR,EXP",2025-07-10 00:10:00+02:00,,,3.0,,,,
HV5096,"ARR,EXP",2025-07-10 00:10:00+02:00,,,1.0,,,,
KL3283,"ARR,EXP",2025-07-10 00:15:00+02:00,,,1.0,,,,
HV6754,"ARR,EXP",2025-07-10 00:15:00+02:00,,,1.0,,,,
KL2628,"ARR,EXP",2025-07-10 00:20:00+02:00,,,4.0,,,,
HV5760,"ARR,EXP",2025-07-10 00:20:00+02:00,,,4.0,,,,
HV5746,ARR,2025-07-10 00:25:00+02:00,,,3.0,,,,
KL2598,ARR,2025-07-10 00:25:00+02:00,,,3.0,,,,
HV5874,ARR,2025-07-10 00:25:00+02:00,,,1.0,,,,
HV5724,"ARR,EXP",2025-07-10 00:30:00+02:00,,,1.0,,,,
KL2521,"ARR,EXP",2025-07-10 00:30:00+02:00,,,1.0,,,,
KL2560,"ARR,EXP",2025-07-10 00:35:00+02:00,,,1.0,,,,
HV6674,"ARR,EXP",2025-07-10 00:35:00+02:00,,,1.0,,,,
HV606,"ARR,EXP",2025-07-10 00:40:00+02:00,,,4.0,,,,
KL2629,"ARR,EXP",2025-07-10 00:40:00+02:00,,,3.0,,,,
HV6642,"ARR,EXP",2025-07-10 00:40:00+02:00,,,3.0,,,,
OR1186,"ARR,EXP",2025-07-10 00:45:00+02:00,,,3.0,,,,
HV6152,"ARR,EXP",2025-07-10 01:00:00+02:00,,,1.0,,,,
HV5680,"ARR,EXP",2025-07-10 01:25:00+02:00,,,3.0,,,,
KL2630,"ARR,EXP",2025-07-10 01:35:00+02:00,,,1.0,,,,
HV5630,"ARR,EXP",2025-07-10 01:35:00+02:00,,,1.0,,,,
CD344,"ARR,EXP",2025-07-10 01:40:00+02:00,,,3.0,,,,
